slug,name,category_id,definition,when_to_use,prompt_example,pairs_well_with,works_in,tier,images,status,source,date_added
velvet,Velvet,textures,"Deep, soft, light-absorbing fabric texture. Rich and touchable, with gentle sheen on the folds.","Use for luxury, warmth, and depth, especially in dark and moody scenes.","""emerald velvet armchair in a dim study""",chiaroscuro;jewel tones;baroque,midjourney;nano-banana-pro;gpt-image-2;seedance,free,,published,seed,2026-07-07
cracked-porcelain,Cracked Porcelain,textures,"Fine, delicate cracks across a smooth ceramic surface, like an antique teacup. Fragile beauty.",Use for elegance with a hint of sadness or age. Beautiful on faces in surreal art.,"""porcelain doll face with fine cracks, soft light""",kintsugi;antique;pale palette,midjourney;nano-banana-pro;gpt-image-2;seedance,free,,published,seed,2026-07-07
brushed-metal,Brushed Metal,textures,"Metal with a fine, satiny grain instead of a mirror shine. Modern, clean, industrial.","Use for product shots, tech, and modern interiors when chrome feels too flashy.","""brushed metal coffee machine, morning kitchen light""",minimalist;studio lighting;product photography,midjourney;nano-banana-pro;gpt-image-2;seedance,free,,published,seed,2026-07-07
moss-covered,Moss Covered,textures,"Soft green growth blanketing stone, wood, or forgotten things. Nature quietly taking over.","Use for enchanted forests, ruins, and anything that should feel ancient and alive.","""moss covered stone stairway into a forest""",overgrown;fantasy;volumetric light,midjourney;nano-banana-pro;gpt-image-2;seedance,free,,published,seed,2026-07-07
watercolor,Watercolor,medium,"Soft, translucent paint that bleeds and blooms on paper. Edges melt; colors breathe.","Use for gentle, emotional, storybook feels. Terrible for sharp detail; wonderful for mood.","""watercolor painting of a rainy street market""",loose sketch;pastel palette;storybook,midjourney;nano-banana-pro;gpt-image-2;seedance,free,,published,seed,2026-07-07
oil-painting,Oil Painting,medium,"Rich, layered classical paint with visible brushwork and deep color. The museum look.","Use for portraits, drama, and timelessness. Instantly makes a scene feel important.","""oil painting of a woman with pink hair, dark background""",chiaroscuro;baroque;canvas texture,midjourney;nano-banana-pro;gpt-image-2;seedance,free,,published,seed,2026-07-07
papercraft,Papercraft,medium,"Scenes built from cut, folded, and layered paper. Handmade, dimensional, and charming.","Use for playful explainers, craft aesthetics, and gentle 3D without computer-render coldness.","""papercraft diorama of a lighthouse in a storm""",diorama;layered;pastel palette,midjourney;nano-banana-pro;gpt-image-2;seedance,free,,published,seed,2026-07-07
claymation,Claymation,medium,"The look of hand-molded clay characters, with fingerprint softness and stop-motion charm.","Use for friendly characters and nostalgic, handmade animation vibes.","""claymation robot watering a tiny garden""",stop motion;miniature;playful,midjourney;nano-banana-pro;gpt-image-2;seedance,free,,published,seed,2026-07-07
charcoal-sketch,Charcoal Sketch,medium,"Loose, smudgy black drawing with rough strokes and soft shading. Raw and expressive.","Use for emotion, movement studies, and dramatic portraits where polish would kill the feeling.","""charcoal sketch of a dancer mid-leap""",monochrome;gesture drawing;dramatic,midjourney;nano-banana-pro;gpt-image-2;seedance,free,,published,seed,2026-07-07
stained-glass,Stained Glass,medium,"Bold shapes outlined in dark lead, filled with glowing colored glass. Light becomes the artwork.","Use for spiritual, ornate, or fairytale imagery. Strong silhouettes work best.","""stained glass window of a fox in a moonlit forest""",art nouveau;backlit;jewel tones,midjourney;nano-banana-pro;gpt-image-2;seedance,free,,published,seed,2026-07-07
fog,Fog,weather,Thick soft mist that hides distance and mutes color. The world becomes quiet and mysterious.,"Use to simplify busy scenes, add mystery, or make light rays visible.","""lone streetlamp in heavy fog""",volumetric light;muted palette;moody,midjourney;nano-banana-pro;gpt-image-2;seedance,free,,published,seed,2026-07-07
golden-autumn,Golden Autumn,weather,"Peak fall: amber leaves, low warm sun, long shadows. Cozy and a little nostalgic.","Use for warmth, harvest scenes, and gentle melancholy.","""golden autumn park, falling leaves, long shadows""",golden hour;cozy;warm palette,midjourney;nano-banana-pro;gpt-image-2;seedance,free,,published,seed,2026-07-07
monsoon-rain,Monsoon Rain,weather,"Heavy, dramatic, warm rain. Sheets of water, glossy streets, life carrying on under umbrellas.",Use for drama and atmosphere in city or tropical scenes. Reflections double the beauty.,"""market street in monsoon rain, umbrellas glowing""",reflections;neon glow;cinematic,midjourney;nano-banana-pro;gpt-image-2;seedance,free,,published,seed,2026-07-07
first-snow,First Snow,weather,"Light, fresh snowfall that hasn't been walked through yet. Clean, quiet, hopeful.","Use for winter softness without harshness, and for scenes about new beginnings.","""red postbox under first snow, early morning""",overcast light;minimalist;muted palette,midjourney;nano-banana-pro;gpt-image-2;seedance,free,,published,seed,2026-07-07
heat-haze,Heat Haze,weather,"The shimmery, wavy air above hot roads and deserts. You can feel the temperature.","Use for deserts, summer roads, and tension. It adds motion to still scenes.","""empty desert highway, heat haze on the horizon""",cinematic;golden hour;wide shot,midjourney;nano-banana-pro;gpt-image-2;seedance,free,,published,seed,2026-07-07
dreamscape,Dreamscape,scapes,"A landscape built from dream logic: floating islands, impossible skies, soft physics.",Use when reality is optional. Great for surreal art and emotional storytelling.,"""pastel dreamscape with floating staircases and slow clouds""",surrealism;pastel palette;ethereal,midjourney;nano-banana-pro;gpt-image-2;seedance,free,,published,seed,2026-07-07
cityscape,Cityscape,scapes,"A wide view of a city: rooftops, lights, layers of buildings stacked to the horizon.","Use for establishing shots, urban energy, and scale.","""rainy cityscape at blue hour, glowing windows""",neon glow;aerial view;cinematic,midjourney;nano-banana-pro;gpt-image-2;seedance,free,,published,seed,2026-07-07
seascape,Seascape,scapes,"The ocean as the subject: waves, horizon, weather, and light on water.","Use for calm, power, or loneliness. The mood of the water is the mood of the image.","""stormy seascape with a distant lighthouse""",dramatic sky;long exposure;moody,midjourney;nano-banana-pro;gpt-image-2;seedance,free,,published,seed,2026-07-07
microscape,Microscape,scapes,"A tiny world shot like a landscape: moss becomes forest, dew becomes lakes.",Use for wonder and fresh perspective. Familiar things become magical at ant scale.,"""microscape of a mossy log, dew drops like ponds""",macro photography;bokeh;fantasy,midjourney;nano-banana-pro;gpt-image-2;seedance,free,,published,seed,2026-07-07
cloudscape,Cloudscape,scapes,"The sky as the whole scene: towering clouds, light beams, endless space.","Use for freedom, spirituality, and scale. Beautiful backdrop for flying subjects.","""golden cloudscape at sunset, birds crossing""",volumetric light;aerial;ethereal,midjourney;nano-banana-pro;gpt-image-2;seedance,free,,published,seed,2026-07-07
art-deco-era,Art Deco Era,time-periods-and-eras,"The glamorous 1920s-30s look: geometric patterns, gold and black, luxury and symmetry.","Use for elegance, posters, architecture, and Gatsby-flavored glamour.","""art deco hotel lobby, gold and black, symmetrical""",geometric;gold accents;vintage poster,midjourney;nano-banana-pro;gpt-image-2;seedance,free,,published,seed,2026-07-07
victorian-era,Victorian Era,time-periods-and-eras,"The 1800s look: ornate detail, dark wood, lace, gas lamps, and formality with secrets.","Use for gothic romance, period portraits, and moody interiors.","""victorian era study, gas lamp, leather books""",candlelight;ornate;gothic,midjourney;nano-banana-pro;gpt-image-2;seedance,free,,published,seed,2026-07-07
retro-70s,Retro 70s,time-periods-and-eras,"Warm oranges and browns, funky patterns, film grain, and sun-faded optimism.","Use for nostalgia, music culture, and warm analog vibes.","""retro 70s kitchen, orange tones, film grain""",film photography;warm palette;grainy,midjourney;nano-banana-pro;gpt-image-2;seedance,free,,published,seed,2026-07-07
y2k,Y2K,time-periods-and-eras,"Late 90s to early 2000s: glossy plastic, chrome, bubble shapes, digital optimism.",Use for playful nostalgia and fashion-forward content aimed at millennial memory lanes.,"""y2k desktop setup, translucent plastic, chrome accents""",holographic;pastel palette;glossy,midjourney;nano-banana-pro;gpt-image-2;seedance,free,,published,seed,2026-07-07
jewel-tones,Jewel Tones,colors-palettes,"Deep, saturated colors named after gems: emerald, ruby, sapphire, amethyst. Rich and confident.","Use for luxury, drama, and depth. They love dark backgrounds and velvet textures.","""portrait in jewel tones, emerald background""",velvet;chiaroscuro;baroque,midjourney;nano-banana-pro;gpt-image-2;seedance,free,,published,seed,2026-07-07
pastel-palette,Pastel Palette,colors-palettes,"Soft, milky, gentle colors: baby pink, mint, lavender, cream. Sweet and calming.","Use for gentle, dreamy, friendly content. The default palette of soft aesthetics.","""pastel palette bakery storefront, morning light""",dreamscape;soft focus;kawaii,midjourney;nano-banana-pro;gpt-image-2;seedance,free,,published,seed,2026-07-07
muted-palette,Muted Palette,colors-palettes,"Colors with the volume turned down: dusty, greyed, quiet tones. Sophisticated and calm.",Use when bright colors feel cheap or loud. Editorial and interior content loves this.,"""muted palette living room, linen and clay tones""",overcast light;minimalist;editorial,midjourney;nano-banana-pro;gpt-image-2;seedance,free,,published,seed,2026-07-07
teal-and-orange,Teal and Orange,colors-palettes,The classic movie color combo: warm skin tones against cool teal shadows. Instantly cinematic.,Use for cinematic stills and action scenes. It is the fastest route to a film look.,"""teal and orange street scene, cinematic still""",cinematic;neon glow;film still,midjourney;nano-banana-pro;gpt-image-2;seedance,free,,published,seed,2026-07-07
macro-photography,Macro Photography,photography-styles,"Extreme close-up photography where tiny things fill the frame: insect eyes, dew drops, fabric weave.","Use for detail, texture, and wonder. Backgrounds melt into soft blur automatically.","""macro photography of frost on a leaf""",bokeh;shallow depth of field;microscape,midjourney;nano-banana-pro;gpt-image-2;seedance,free,,published,seed,2026-07-07
long-exposure,Long Exposure,photography-styles,"A slow camera that turns motion into smooth streaks: silky waterfalls, light trails, ghost crowds.","Use for movement, time, and calm. Water and traffic become magic.","""long exposure waterfall in a dark forest""",seascape;night scene;ethereal,midjourney;nano-banana-pro;gpt-image-2;seedance,free,,published,seed,2026-07-07
candid,Candid,photography-styles,"Unposed, caught-in-the-moment photography. Real expressions, imperfect framing, honest life.",Use when posed images feel stiff. Perfect for storytelling and documentary feels.,"""candid photo of friends laughing at a kitchen table""",overcast light;film photography;warm,midjourney;nano-banana-pro;gpt-image-2;seedance,free,,published,seed,2026-07-07
editorial,Editorial,photography-styles,"Magazine-style photography: intentional, styled, confident. Every element placed on purpose.","Use for fashion, products, and brand imagery that should feel premium.","""editorial photo of a woman in a structured coat, studio""",muted palette;fashion;studio lighting,midjourney;nano-banana-pro;gpt-image-2;seedance,free,,published,seed,2026-07-07
film-photography,Film Photography,photography-styles,"The analog look: gentle grain, imperfect color, soft highlights. Warmth digital can't fake.",Use for nostalgia and humanity. Makes AI images feel less AI.,"""film photography of a seaside town, slight grain""",retro 70s;candid;light leak,midjourney;nano-banana-pro;gpt-image-2;seedance,free,,published,seed,2026-07-07
ethereal,Ethereal,power-words,"Light, airy, and not quite of this world. Glow, softness, and a floating feeling.",Use to lift any scene toward the magical. One of the strongest single-word mood shifters.,"""ethereal portrait, soft glow, floating fabric""",dreamscape;volumetric light;pastel palette,midjourney;nano-banana-pro;gpt-image-2;seedance,free,,published,seed,2026-07-07
ominous,Ominous,power-words,"Something bad is coming. Heavy skies, long shadows, and quiet tension.","Use for thrillers, storms, and drama. It darkens mood without adding gore.","""ominous farmhouse under a green storm sky""",fog;dramatic sky;desaturated,midjourney;nano-banana-pro;gpt-image-2;seedance,free,,published,seed,2026-07-07
opulent,Opulent,power-words,"Extreme, unapologetic luxury. Gold, marble, abundance stacked on abundance.","Use for wealth, fantasy palaces, and maximalist beauty.","""opulent banquet table, gold candelabras, marble hall""",baroque;jewel tones;ornate,midjourney;nano-banana-pro;gpt-image-2;seedance,free,,published,seed,2026-07-07
serene,Serene,power-words,"Deep calm. Still water, soft light, nothing rushing anywhere.","Use for wellness, nature, and breathing room. The antidote to busy images.","""serene mountain lake at dawn, mist rising""",first snow;muted palette;minimalist,midjourney;nano-banana-pro;gpt-image-2;seedance,free,,published,seed,2026-07-07
biopunk-rococo,Biopunk Rococo,style-hybrids,"Ornate 18th-century curls and gilding grown from living tissue, vines, and organic machinery. Lavish and unsettling in the best way.","Use for high-concept fantasy, album art, and scenes where beauty should feel slightly alive.","""biopunk rococo throne room, living gold filigree""",opulent;bioluminescence;surrealism,midjourney;nano-banana-pro;gpt-image-2;seedance,member,,published,seed,2026-07-07
ukiyo-e-vaporwave,Ukiyo-e Vaporwave,style-hybrids,"Classic Japanese woodblock composition dressed in neon pinks, teals, and retro-digital sunset gradients.",Use for striking wall art and content that bridges traditional and internet aesthetics.,"""ukiyo-e vaporwave great wave, neon sunset grid""",neon glow;japanese woodblock;retro,midjourney;nano-banana-pro;gpt-image-2;seedance,member,,published,seed,2026-07-07
brutalist-botanical,Brutalist Botanical,style-hybrids,"Massive raw concrete forms softened by wild, overflowing plant life. Cold architecture, warm nature, perfect tension.","Use for architecture content, book covers, and solarpunk-adjacent worldbuilding.","""brutalist botanical tower, concrete and hanging gardens""",moss covered;overcast light;architectural,midjourney;nano-banana-pro;gpt-image-2;seedance,member,,published,seed,2026-07-07
gothic-kawaii,Gothic Kawaii,style-hybrids,"Cute meets creepy: pastel bats, smiling ghosts, lace and skulls in candy colors. Wednesday Addams meets Lisa Frank.","Use for playful dark content, stickers, and brand imagery with bite.","""gothic kawaii ghost tea party, pastel and black lace""",pastel palette;victorian era;playful,midjourney;nano-banana-pro;gpt-image-2;seedance,member,,published,seed,2026-07-07
